x,y,z
-4.0,8.0,14.295873371407403
-4.0,9.0,14.09168338671976
-4.0,10.0,14.07911101863708
-4.0,11.0,14.274352006418141
-4.0,12.0,14.650554290782752
-4.0,13.0,14.717066100735657
-4.0,14.0,14.4206917282808
-4.0,15.0,14.153522670291691
-3.0,-15.0,12.0702636553975
-3.0,-14.0,11.732924938268651
-3.0,-13.0,13.593946905270792
-3.0,-12.0,13.991377370654583
-3.0,-11.0,13.175866796916452
-3.0,-10.0,12.621584466315511
-3.0,-9.0,12.341594217006538
-3.0,-8.0,12.385541958730583
-3.0,-7.0,12.386333454209
-3.0,-6.0,11.99267647155753
-3.0,-5.0,12.504918173161466
-3.0,-4.0,14.036298894776372
-3.0,-3.0,14.584326865991942
-3.0,-2.0,14.465494110031775
-3.0,-1.0,15.377590143995164
-3.0,0.0,16.122948093141254
-3.0,1.0,15.515156592380484
-3.0,2.0,15.081433344893338
-3.0,3.0,15.408996456490184
-3.0,4.0,15.495117975496166
-3.0,5.0,15.366353484641483
-3.0,6.0,15.178678927795357
-3.0,7.0,14.6854549491893
-3.0,8.0,14.442954596217232
-3.0,9.0,14.543794208043106
-3.0,10.0,14.397191515635393
-3.0,11.0,14.447511757202927
-3.0,12.0,14.822973308175587
-3.0,13.0,14.659521627072168
-3.0,14.0,14.498305134076706
-3.0,15.0,15.027397107225317
-2.0,-15.0,13.000280736285028
-2.0,-14.0,12.20915534094347
-2.0,-13.0,13.344130118874864
-2.0,-12.0,13.57250009244115
-2.0,-11.0,12.738136254238942
-2.0,-10.0,11.956052909929864
-2.0,-9.0,11.540934925698622
-2.0,-8.0,11.710878094626786
-2.0,-7.0,12.20142621084614
-2.0,-6.0,12.40833020001304
-2.0,-5.0,12.853656372515017
-2.0,-4.0,13.847773278804281
-2.0,-3.0,14.309481863323212
-2.0,-2.0,14.229158298373378
-2.0,-1.0,14.799341197756796
-2.0,0.0,15.585218370247405
-2.0,1.0,15.565653145868467
-2.0,2.0,15.38783692677863
-2.0,3.0,15.618935675017338
-2.0,4.0,15.576551662778368
-2.0,5.0,14.996886581719153
-2.0,6.0,14.374989905024025
-2.0,7.0,14.161153345748552
